"NUM_FATURA","NUM_ITEM_FATURA","COD_SERVICO_ERP","DESCR_SERVICO","QTD_ITEM","VLR_PRECO","VLR_TOTAL","PORTO"
"11600",15264,"S.VII.2.1.9","SUPRIMENTO ENERGIA ELETRICA LIGAÇÃO OU DESLIGAÇÃO",529.8,1.63,863.57,"SALVADOR"
"11603",15268,"S.VII.2.1","SUPRIMENTO ENERGIA ELETRICA LIGAÇÃO OU DESLIGAÇÃO",741.72,2.31,1713.37,"SALVADOR"
"11603",15269,"S.VII.2.1.9","SUPRIMENTO ENERGIA ELETRICA LIGAÇÃO OU DESLIGAÇÃO",741.72,1.63,1209,"SALVADOR"
"11024",13586,"S.I.3","INFRAMAR-UTIL.ÁREA DE FUNDEIO S/MOV.S/ATRAC.PORTO/",2,3032.62,6065.24,"SALVADOR"
"11024",13587,"S.I.1","INFRAMAR-UTIL.ÁREA DE FUNDEIO S/MOV.S/ATRAC.PORTO/",1,3402.07,3402.07,"SALVADOR"
"11316",14525,"S.I.3","INFRAMAR-UTIL.ÁREA DE FUNDEIO S/MOV.S/ATRAC.PORTO/",1,3032.62,3032.62,"SALVADOR"
"11316",14526,"S.I.1","INFRAMAR-UTIL.ÁREA DE FUNDEIO S/MOV.S/ATRAC.PORTO/",1,3402.07,3402.07,"SALVADOR"
"11533",15115,"S.I.3","INFRAMAR-UTIL.ÁREA DE FUNDEIO S/MOV.S/ATRAC.PORTO/",1,3032.62,3032.62,"SALVADOR"
"11533",15116,"S.I.1","INFRAMAR-UTIL.ÁREA DE FUNDEIO S/MOV.S/ATRAC.PORTO/",1,3402.07,3402.07,"SALVADOR"
"11656",15342,"S.I.3","INFRAMAR-UTIL.ÁREA DE FUNDEIO S/MOV.S/ATRAC.PORTO/",3,3032.62,9097.86,"SALVADOR"
"11656",15343,"S.I.1","INFRAMAR-UTIL.ÁREA DE FUNDEIO S/MOV.S/ATRAC.PORTO/",1,3402.07,3402.07,"SALVADOR"
"12090",16430,"S.I.3","INFRAMAR-UTIL.ÁREA DE FUNDEIO S/MOV.S/ATRAC.PORTO/",1,3032.62,3032.62,"SALVADOR"
"12090",16431,"S.I.1","INFRAMAR-UTIL.ÁREA DE FUNDEIO S/MOV.S/ATRAC.PORTO/",1,3402.07,3402.07,"SALVADOR"
"12835",18776,"S.I.3","INFRAMAR-UTIL.ÁREA DE FUNDEIO S/MOV.S/ATRAC.PORTO/",1,3032.62,3032.62,"SALVADOR"
"12835",18777,"S.I.1","INFRAMAR-UTIL.ÁREA DE FUNDEIO S/MOV.S/ATRAC.PORTO/",1,3402.07,3402.07,"SALVADOR"
"12944",19002,"S.I.3","INFRAMAR-UTIL.ÁREA DE FUNDEIO S/MOV.S/ATRAC.PORTO/",2,3032.62,6065.24,"SALVADOR"
"12944",19003,"S.I.1","INFRAMAR-UTIL.ÁREA DE FUNDEIO S/MOV.S/ATRAC.PORTO/",1,3402.07,3402.07,"SALVADOR"
"126",245,"I.1.1.1","INFRAESTRUTURA MARÍTMA  [TONELADA ] ",1085.87,3.99,4332.62,"SALVADOR"
"126",246,"I.3.1.1","INFRAESTRUTURA TERRESTRE   [TONELADA ] ",1085.87,5.12,5559.65,"SALVADOR"
"126",249,"I.1.2.1","INFRAESTRUTURA MARÍTIMA   [CONTÊINER ] ",2,41.17,82.34,"SALVADOR"
"126",250,"I.3.2.1","INFRAESTRUTURA TERRESTRE   [CONTÊINER ] ",2,88.83,177.66,"SALVADOR"
"66",93,"I.1.1.1","INFRAESTRUTURA MARÍTMA  [TONELADA ] ",16052.39,3.99,64049.04,"SALVADOR"
"66",94,"I.3.1.1","INFRAESTRUTURA TERRESTRE   [TONELADA ] ",16052.39,5.12,82188.24,"SALVADOR"
"66",95,"I.2.1","ACOSTAGEM   [EMBARCAÇÕES COM MOVIMENTAÇÃO DE CARGAS ] ",15792.1,0.36,5685.16,"SALVADOR"
"125",244,"I.1.6.2","INFRAMAR-ATRACAÇÃO EM TUP PARA OUTROS FINS",34334,0.51,17510.34,"SALVADOR"
